City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Mataura,-46.1927,168.8643,46.47,86,72,9.53,NZ,broken clouds
1,Knysna,-34.0363,23.0471,52.56,90,9,5.28,ZA,clear sky
2,Thompson,55.7435,-97.8558,26.04,70,12,5.21,CA,few clouds
3,Kisangani,0.5167,25.2,69.91,99,100,1.59,CD,overcast clouds
4,Kichera,55.9375,110.0997,30.74,63,60,1.23,RU,broken clouds
5,Balad,34.0164,44.1453,81.68,17,0,4.7,IQ,clear sky
6,Punta Arenas,-53.15,-70.9167,42.91,81,0,9.22,CL,clear sky
7,Mount Gambier,-37.8333,140.7667,64.31,82,100,18.41,AU,overcast clouds
8,Hermanus,-34.4187,19.2345,54.77,82,15,13.53,ZA,few clouds
9,Clyde River,70.4692,-68.5914,25.03,80,100,24.16,CA,light snow
10,Lavrentiya,65.5833,-171.0,39.18,94,100,33.29,RU,moderate rain
11,Los Llanos De Aridane,28.6585,-17.9182,70.12,77,0,11.5,ES,clear sky
12,Jamestown,42.097,-79.2353,51.71,70,26,1.01,US,scattered clouds
13,Albany,42.6001,-73.9662,51.73,93,8,4.25,US,clear sky
14,Mar Del Plata,-38.0023,-57.5575,57.09,86,0,5.75,AR,clear sky
15,Katsuura,35.1333,140.3,57.22,90,100,23.96,JP,overcast clouds
16,Barrow,71.2906,-156.7887,32.02,86,40,9.22,US,scattered clouds
17,Maridi,4.9158,29.4742,64.36,97,97,3.78,SS,light rain
18,Coquimbo,-29.9533,-71.3436,53.33,87,0,5.75,CL,clear sky
19,Pervomayskoye,43.919,46.7102,58.69,69,100,7.52,RU,overcast clouds
20,Bucerias,20.75,-105.3333,82.38,78,40,0.0,MX,scattered clouds
21,Ushuaia,-54.8,-68.3,38.86,87,100,18.41,AR,light rain
22,Lompoc,34.6391,-120.4579,58.51,95,100,9.22,US,fog
23,Torbay,47.6666,-52.7314,50.27,89,100,1.01,CA,overcast clouds
24,Rikitea,-23.1203,-134.9692,69.75,62,65,20.8,PF,broken clouds
25,Hami,42.8,93.45,58.93,30,0,4.99,CN,clear sky
26,Sandviken,60.6167,16.7667,57.56,89,100,13.76,SE,light rain
27,Atuona,-9.8,-139.0333,77.09,78,6,19.71,PF,clear sky
28,Aripuana,-9.1667,-60.6333,78.91,60,74,3.2,BR,broken clouds
29,New Norfolk,-42.7826,147.0587,56.91,61,100,5.01,AU,overcast clouds
30,Abu Samrah,35.3029,37.1841,64.81,64,0,2.73,SY,clear sky
31,Saint Andrews,34.0454,-81.1293,60.01,82,40,3.44,US,scattered clouds
32,Skovorodino,53.9833,123.9167,38.89,39,72,6.51,RU,broken clouds
33,Orneta,54.1148,20.1333,49.75,85,4,11.86,PL,clear sky
34,Port Elizabeth,-33.918,25.5701,59.29,82,75,11.5,ZA,broken clouds
35,Hambantota,6.1241,81.1185,82.36,71,100,20.74,LK,overcast clouds
36,Lere,10.387,8.5726,67.48,87,28,2.8,NG,scattered clouds
37,Avarua,-21.2078,-159.775,78.85,69,20,18.41,CK,few clouds
38,Saldanha,-33.0117,17.9442,56.1,77,100,3.13,ZA,overcast clouds
39,Half Moon Bay,37.4636,-122.4286,72.88,84,0,14.97,US,fog
40,Jurilovca,44.7667,28.8667,48.29,53,100,3.74,RO,overcast clouds
41,Vaini,-21.2,-175.2,76.55,83,100,8.57,TO,light rain
42,Severnyy,50.677,36.5532,46.44,93,0,8.95,RU,clear sky
43,Bluff,-46.6,168.3333,46.8,56,92,21.94,NZ,overcast clouds
44,Ponta Do Sol,32.6667,-17.1,70.43,85,22,6.96,PT,few clouds
45,Maldonado,-34.6667,-54.9167,56.59,91,100,9.48,UY,overcast clouds
46,Carauari,-4.8828,-66.8958,79.54,67,53,1.39,BR,broken clouds
47,Gravdal,68.1214,13.5031,48.09,93,75,21.85,NO,light rain
48,Kabare,-2.4683,28.8242,61.12,83,100,1.79,CD,overcast clouds
49,Longyearbyen,78.2186,15.6401,39.04,75,100,13.8,SJ,overcast clouds
50,Chuy,-33.6971,-53.4616,58.89,82,100,12.8,UY,overcast clouds
51,Carnarvon,-24.8667,113.6333,71.67,26,0,20.71,AU,clear sky
52,Lorengau,-2.0226,147.2712,85.69,70,65,12.06,PG,broken clouds
53,Vestmannaeyjar,63.4427,-20.2734,44.8,68,50,12.73,IS,scattered clouds
54,Port Blair,11.6667,92.75,82.62,75,100,11.12,IN,moderate rain
55,Anage,-14.6122,-41.1356,73.22,64,37,3.27,BR,scattered clouds
56,Russell,32.3502,-85.1999,59.0,87,0,0.0,US,clear sky
57,Hamilton,39.1834,-84.5333,60.78,68,0,0.0,US,clear sky
58,Port Alfred,-33.5906,26.891,58.17,93,62,4.0,ZA,broken clouds
59,La Asuncion,11.0333,-63.8628,78.53,100,97,1.14,VE,overcast clouds
60,Tuktoyaktuk,69.4541,-133.0374,33.8,93,75,18.41,CA,broken clouds
61,Vuktyl,63.8567,57.3094,41.86,92,100,8.37,RU,light rain
62,San Angelo,31.4638,-100.437,73.6,37,75,5.75,US,broken clouds
63,Hilo,19.7297,-155.09,82.27,85,100,4.61,US,moderate rain
64,Hobart,-42.8794,147.3294,57.25,75,75,16.11,AU,broken clouds
65,Pokaran,26.9167,71.9167,86.81,23,4,1.86,IN,clear sky
66,Saint-Pierre,-21.3393,55.4781,69.48,60,0,5.75,RE,clear sky
67,Sovetskiy,61.3614,63.5842,40.48,72,98,5.06,RU,overcast clouds
68,Sao Filipe,14.8961,-24.4956,77.97,87,50,13.42,CV,scattered clouds
69,Kodiak,57.79,-152.4072,51.31,93,100,5.75,US,mist
70,Ransang,8.9603,117.5828,86.16,68,100,2.95,PH,overcast clouds
71,Lebu,-37.6167,-73.65,50.4,94,100,12.55,CL,overcast clouds
72,Baiyin,36.5583,104.2081,51.89,55,100,1.03,CN,overcast clouds
73,Odweyne,9.4092,45.064,75.02,55,73,5.23,SO,broken clouds
74,Cockburn Town,21.4612,-71.1419,83.34,74,98,13.13,TC,overcast clouds
75,Temyasovo,52.9933,58.1014,42.4,41,100,6.24,RU,overcast clouds
76,Ancud,-41.8697,-73.8203,46.17,85,73,8.88,CL,broken clouds
77,Saint-Philippe,-21.3585,55.7679,69.39,75,40,11.65,RE,scattered clouds
78,Ribeira Grande,38.5167,-28.7,71.17,83,96,4.54,PT,overcast clouds
79,Rock Sound,24.9,-76.2,80.96,71,7,8.23,BS,clear sky
80,Hirado,33.3597,129.5531,74.39,72,100,14.92,JP,overcast clouds
81,Ocean City,39.2776,-74.5746,60.03,89,100,5.99,US,overcast clouds
82,Khatanga,71.9667,102.5,11.34,97,100,4.74,RU,overcast clouds
83,Alofi,-19.0595,-169.9187,82.29,65,40,11.5,NU,scattered clouds
84,Atar,20.5169,-13.0499,88.65,17,12,12.86,MR,few clouds
85,Kapaa,22.0752,-159.319,79.12,72,100,10.36,US,overcast clouds
86,Kikwit,-5.041,18.8162,70.05,97,100,2.08,CD,moderate rain
87,Tasiilaq,65.6145,-37.6368,32.16,49,82,6.4,GL,broken clouds
88,Tahoua,14.8888,5.2692,83.79,54,56,9.8,NE,broken clouds
89,Labuhan,-6.8844,112.2051,84.92,65,81,6.11,ID,broken clouds
90,Alto Araguaia,-17.3147,-53.2153,72.39,76,72,4.85,BR,broken clouds
91,Briancon,44.9,6.65,50.36,89,0,3.33,FR,clear sky
92,Qaanaaq,77.484,-69.3632,4.66,70,34,7.47,GL,scattered clouds
93,Omboue,-1.5746,9.2618,75.02,90,92,6.53,GA,light rain
94,Ilulissat,69.2167,-51.1,26.62,68,75,3.44,GL,broken clouds
95,Goderich,43.7501,-81.7165,58.91,77,100,3.44,CA,overcast clouds
96,Sakakah,29.9697,40.2064,76.57,19,0,5.28,SA,clear sky
97,Arraial Do Cabo,-22.9661,-42.0278,68.99,85,100,11.54,BR,overcast clouds
98,Xihua,33.7833,114.5167,49.28,90,100,4.68,CN,overcast clouds
99,Nanortalik,60.1432,-45.2371,38.23,90,39,14.18,GL,scattered clouds
100,Prado,-17.3411,-39.2208,74.35,88,83,8.03,BR,broken clouds
